TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
"3241373","YuGiOh","Structure Deck: Seto Kaiba","ABC-Dragon Buster","","SDKS-EN041","Ultra Rare","Moderately Played 1st Edition","0.55","","1.8000","0.4900","1","0","0.4200",""
"3241178","YuGiOh","Structure Deck: Seto Kaiba","B-Buster Drake","","SDKS-EN002","Super Rare","Moderately Played 1st Edition","0.81","","1.8600","0.5500","0","0","0.8800",""
"3241182","YuGiOh","Structure Deck: Seto Kaiba","C-Crush Wyvern","","SDKS-EN003","Super Rare","Lightly Played 1st Edition","0.59","","1.7000","0.3900","0","0","0.4800",""
"3241383","YuGiOh","Structure Deck: Seto Kaiba","XY-Dragon Cannon","","SDKS-EN043","Common","Moderately Played 1st Edition","0.45","","1.8000","0.3000","0","0","0.3700",""
"3241388","YuGiOh","Structure Deck: Seto Kaiba","XZ-Tank Cannon","","SDKS-EN044","Common","Moderately Played 1st Edition","0.33","","1.5600","0.2500","0","0","0.2800",""
"3241197","YuGiOh","Structure Deck: Seto Kaiba","Y-Dragon Head","","SDKS-EN006","Common","Lightly Played 1st Edition","0.23","","1.5200","0.2100","1","0","0.3200",""
"3241202","YuGiOh","Structure Deck: Seto Kaiba","Z-Metal Tank","","SDKS-EN007","Common","Lightly Played 1st Edition","0.29","","1.5300","0.2200","1","0","0.4000",""
"533510","YuGiOh","Structure Deck: Spellcaster's Judgment","Dark Eradicator Warlock","","SD6-EN001","Ultra Rare","Heavily Played 1st Edition","0.95","","2.9800","1.6700","0","0","0.6100",""
"525296","YuGiOh","Structure Deck: Spellcaster's Judgment","Dark Eradicator Warlock","","SD6-EN001","Ultra Rare","Damaged 1st Edition","1.01","","1.7100","0.4000","0","0","0.4100",""
"4615168","YuGiOh","Structure Deck: Spirit Charmers","Effect Veiler","","SDCH-EN017","Common","Lightly Played 1st Edition","0.94","0.94","1.6000","0.2900","1","0","0.7800",""
"4615169","YuGiOh","Structure Deck: Spirit Charmers","Effect Veiler","","SDCH-EN017","Common","Moderately Played 1st Edition","0.32","","1.8100","0.5000","1","0","0.5200",""
